fips,rate
13315,273.01
13317,248.17
13319,262.49
13321,363.61
15001,
15003,
15007,
15009,
17001,258.27
17003,284.11
17005,249.36
17007,270.16
17009,258.27
17011,222.38
17013,249.36
17015,270.16
17017,258.27
17019,269.90
17021,258.27
17023,269.90
17025,284.11
17027,249.36
17029,269.90
17031,209.95
17033,284.11
17035,269.90
17037,270.16
17039,269.90
17041,269.90
17043,225.12
17045,269.90
17047,284.11
17049,284.11
17051,284.11
17053,269.90
17055,284.11
17057,227.15
17059,284.11
17061,249.36
17063,221.32
17065,284.11
17067,222.38
17069,284.11
17071,222.38
17073,222.38
17075,269.90
17077,284.11
17079,284.11
17081,284.11
17083,249.36
17085,270.16
17087,284.11
17089,225.12
17091,221.32
17093,221.32
17095,227.15
17097,238.23
17099,227.15
17101,284.11
17103,270.16
17105,269.90
17107,258.27
17109,227.15
17111,238.23
17113,269.90
17115,258.27
17117,249.36
17119,246.78
17121,284.11
17123,227.15
17125,258.27
17127,284.11
17129,258.27
17131,222.38
17133,246.78
17135,249.36
17137,258.27
17139,258.27
17141,270.16
17143,227.15
17145,284.11
17147,269.90
17149,258.27
17151,284.11
17153,284.11
17155,227.15
17157,249.36
17159,284.11
17161,222.38
17163,246.78
17165,284.11
17167,258.27
17169,258.27
17171,258.27
17173,258.27
17175,227.15
17177,270.16
17179,227.15
17181,284.11
17183,269.90
17185,284.11
17187,222.38
17189,249.36
17191,284.11
17193,284.11
17195,222.38
17197,221.32
17199,284.11
17201,270.16
17203,227.15
18001,282.43
18003,272.81
18005,336.78
18007,309.62
18009,317.22
18011,320.57
18013,329.61
18015,323.92
18017,301.36
18019,195.84
18021,337.99
18023,323.92
18025,195.84
18027,266.60
18029,313.54
18031,336.78
18033,282.43
18035,317.22
18037,266.60
18039,316.63
18041,326.98
18043,195.84
18045,323.92
18047,313.54
18049,301.36
18051,347.05
18053,317.22
18055,266.60
18057,320.57
18059,326.98
18061,195.84
18063,320.57
18065,326.98
18067,301.36
18069,282.43
18071,336.78
18073,309.62
18075,317.22
18077,195.84
18079,336.78
18081,329.61
18083,266.60
18085,316.63
18087,282.43
18089,293.60
18091,293.60
18093,329.61
18095,326.98
18097,320.57
18099,316.63
18101,266.60
18103,301.36
18105,329.61
18107,323.92
18109,320.57
18111,309.62
18113,282.43
18115,313.54
18117,266.60
18119,329.61
18121,337.99
18123,266.60
18125,266.60
18127,293.60
18129,347.05
18131,301.36
18133,323.92
18135,317.22
18137,313.54
18139,336.78
18141,316.63
18143,195.84
18145,320.57
18147,266.60
18149,316.63
18151,282.43
18153,337.99
18155,313.54
18157,323.92
18159,323.92
18161,326.98
18163,347.05
18165,337.99
18167,337.99
18169,282.43
18171,309.62
18173,347.05
18175,195.84
18177,326.98
18179,282.43
18181,309.62
18183,282.43
19001,214.03
19003,214.03
19005,254.56
19007,242.39
19009,214.03
19011,240.12
19013,240.12
19015,287.30
19017,254.56
19019,240.12
19021,252.76
19023,254.56
19025,287.30
19027,287.30
19029,214.03
19031,240.12
19033,254.56
19035,252.76
19037,254.56
19039,214.03
19041,252.76
19043,240.12
19045,240.12
19047,252.76
19049,199.43
19051,242.39
19053,214.03
19055,240.12
19057,242.39
19059,252.76
19061,240.12
19063,254.56
19065,254.56
19067,254.56
19069,254.56
19071,214.03
19073,287.30
19075,287.30
19077,214.03
19079,287.30
19081,254.56
19083,287.30
19085,214.03
19087,242.39
19089,254.56
19091,254.56
19093,252.76
19095,240.12
19097,240.12
19099,199.43
19101,242.39
19103,240.12
19105,240.12
19107,242.39
19109,254.56
19111,242.39
19113,240.12
19115,242.39
19117,242.39
19119,252.76
19121,199.43
19123,242.39
19125,199.43
19127,287.30
19129,214.03
19131,254.56
19133,252.76
19135,242.39
19137,214.03
19139,242.39
19141,252.76
19143,252.76
19145,214.03
19147,252.76
19149,252.76
19151,252.76
19153,199.43
19155,214.03
19157,287.30
19159,214.03
19161,252.76
19163,240.12
19165,214.03
19167,252.76
19169,287.30
19171,287.30
19173,214.03
19175,214.03
19177,242.39
19179,242.39
19181,199.43
19183,242.39
19185,242.39
19187,287.30
19189,254.56
19191,254.56
19193,252.76
19195,254.56
19197,254.56
20001,214.63
20003,223.29
20005,223.29
20007,233.53
20009,249.44
20011,214.63
20013,223.29
20015,212.35
20017,212.35
20019,212.35
20021,214.63
20023,249.44
